generation,evaluation_count,best_fitness,mean_fitness,worst_fitness,diversity_index,elapsed_time,algorithm_name,seed
1,2,-0.17456163102644978,-0.18325354917836187,-0.18325354917836187,0.0,0.0,SA,42
2,3,-0.17456163102644978,-0.1860314797685312,-0.1860314797685312,0.0,0.0,SA,42
3,4,-0.17456163102644978,-0.18226297824133492,-0.18226297824133492,0.0,0.0,SA,42
