generation,evaluation_count,best_fitness,mean_fitness,worst_fitness,diversity_index,elapsed_time,algorithm_name,seed
1,35,-0.16729688475519333,-0.17954100329561068,-0.1888918010195892,0.289310533690907,0.0,ACO,42
2,40,-0.16729688475519333,-0.17847143868040052,-0.18721237532364665,0.2923351620691577,0.0,ACO,42
3,45,-0.16729688475519333,-0.17811620086602298,-0.18616474826659968,0.2934487350074547,0.0,ACO,42
